nombre,url,categoria
Instituto Nacional Penitenciario - Oficina Regional Lima (INPE-ORL),https://www.gob.pe/inpe-orl,Por clasificar
Programa Modernización del Sistema de Administración de Justicia No Penal - Minjusdh (PMSAJ - MINJUSDH),https://www.gob.pe/pmsaj-minjusdh,Por clasificar
Programa Nacional de Enseñanza Legal para la Inclusión Social (PRONELIS),https://www.gob.pe/programa-nacional-de-ensenanza-legal-para-la-inclusion-social,Por clasificar
Programa Nacional de Bienes Incautados (PRONABI),https://www.gob.pe/pronabi,Por clasificar
Programa Nacional de Centros Juveniles (PRONACEJ),https://www.gob.pe/pronacej,Por clasificar
Programa de Mejoramiento de los Servicios de Justicia en Materia Penal en El Perú - Minjusdh (PMSJPP Minjusdh),https://www.gob.pe/pmsjp-minjusdh,Por clasificar
Autoridad Nacional de Protección de Datos Personales (ANPD),https://www.gob.pe/anpd,Por clasificar
Autoridad Nacional de Transparencia y Acceso A la Información Pública (ANTAIP),https://www.gob.pe/antaip,Por clasificar
Tribunal de Transparencia y Acceso A la Información Pública (TTAIP),https://www.gob.pe/ttaip,Por clasificar
Ministerio de Educación (MINEDU),https://www.gob.pe/minedu,Por clasificar
Web de Ministerio de Educación,http://www.gob.pe/minedu,Por clasificar
Iest de Investigaciones Industriales (INDII),https://www.gob.pe/istdeinvestigacionesindustriales,Por clasificar
Secretaría Nacional de la Juventud (Senaju),https://www.gob.pe/senaju,Por clasificar
Instituto Peruano del Deporte (IPD),https://www.gob.pe/ipd,Por clasificar
Superintendencia Nacional de Educación Superior Universitaria (SUNEDU),https://www.gob.pe/sunedu,Por clasificar
Centro Vacacional Huampani (CV HUAMPANI),https://www.gob.pe/huampani,Por clasificar
Dirección Regional de Educación Lima Metropolitana (DRE Lima Metropolitana),https://www.gob.pe/regionlima-drelm,Por clasificar
Unidad de Gestión Educativa Local N° 01 San Juan de Miraflores (UGEL San Juan de Miraflores),https://www.gob.pe/ugelsanjuandemiraflores,Por clasificar
